symbol,timeframe,bar_time,open,high,low,close
EURUSD,H1,2025-03-21T13:00:00Z,1.08258,1.08389,1.08258,1.08371
EURUSD,H1,2025-03-21T14:00:00Z,1.08371,1.08513,1.08352,1.08508
EURUSD,H1,2025-03-21T15:00:00Z,1.0851,1.08613,1.08297,1.08323
EURUSD,H1,2025-03-21T16:00:00Z,1.08322,1.0836,1.08252,1.08322
EURUSD,H1,2025-03-21T17:00:00Z,1.08322,1.08357,1.08188,1.08238
EURUSD,H1,2025-03-21T18:00:00Z,1.08238,1.08294,1.07973,1.08063
EURUSD,H1,2025-03-21T19:00:00Z,1.08063,1.08251,1.08046,1.08184
EURUSD,H1,2025-03-21T20:00:00Z,1.08184,1.08257,1.08053,1.08227
EURUSD,H1,2025-03-21T21:00:00Z,1.08227,1.08269,1.08148,1.0821
EURUSD,H1,2025-03-21T22:00:00Z,1.0821,1.08245,1.08154,1.08178
EURUSD,H1,2025-03-21T23:00:00Z,1.08178,1.08178,1.08115,1.08124
EURUSD,H1,2025-03-24T00:00:00Z,1.08127,1.08171,1.08104,1.08169
EURUSD,H1,2025-03-24T01:00:00Z,1.08169,1.08302,1.08167,1.082
EURUSD,H1,2025-03-24T02:00:00Z,1.082,1.08372,1.08191,1.0836
EURUSD,H1,2025-03-24T03:00:00Z,1.0836,1.084,1.08325,1.08374
EURUSD,H1,2025-03-24T04:00:00Z,1.08373,1.08376,1.08229,1.08262
EURUSD,H1,2025-03-24T05:00:00Z,1.08262,1.08322,1.08245,1.08251
EURUSD,H1,2025-03-24T06:00:00Z,1.0825,1.08295,1.08201,1.08205
EURUSD,H1,2025-03-24T07:00:00Z,1.08205,1.08246,1.08171,1.08229
EURUSD,H1,2025-03-24T08:00:00Z,1.08229,1.08307,1.08182,1.08292
EURUSD,H1,2025-03-24T09:00:00Z,1.08292,1.08449,1.08281,1.08398
EURUSD,H1,2025-03-24T10:00:00Z,1.08398,1.085,1.08331,1.08381
EURUSD,H1,2025-03-24T11:00:00Z,1.08383,1.08584,1.08376,1.08429
EURUSD,H1,2025-03-24T12:00:00Z,1.0843099999999999,1.0845,1.08285,1.08394
EURUSD,H1,2025-03-24T13:00:00Z,1.08394,1.08549,1.08366,1.08481
EURUSD,H1,2025-03-24T14:00:00Z,1.08481,1.08495,1.08323,1.0832600000000001
EURUSD,H1,2025-03-24T15:00:00Z,1.0832600000000001,1.08346,1.08217,1.08298
EURUSD,H1,2025-03-24T16:00:00Z,1.08298,1.08307,1.07926,1.07937
EURUSD,H1,2025-03-24T17:00:00Z,1.07933,1.08203,1.07904,1.07996
EURUSD,H1,2025-03-24T18:00:00Z,1.07996,1.08055,1.07906,1.07939
EURUSD,H1,2025-03-24T19:00:00Z,1.07941,1.08074,1.07817,1.07918
EURUSD,H1,2025-03-24T20:00:00Z,1.07918,1.07964,1.07849,1.07878
EURUSD,H1,2025-03-24T21:00:00Z,1.07877,1.08133,1.07841,1.08053
EURUSD,H1,2025-03-24T22:00:00Z,1.08053,1.08072,1.07976,1.08023
EURUSD,H1,2025-03-24T23:00:00Z,1.08022,1.08063,1.07994,1.08008
EURUSD,H1,2025-03-25T00:00:00Z,1.08003,1.08012,1.07956,1.07995
EURUSD,H1,2025-03-25T01:00:00Z,1.07995,1.0803,1.07952,1.08025
EURUSD,H1,2025-03-25T02:00:00Z,1.08025,1.08038,1.08006,1.08025
EURUSD,H1,2025-03-25T03:00:00Z,1.08025,1.08026,1.07961,1.08003
EURUSD,H1,2025-03-25T04:00:00Z,1.08003,1.08083,1.08,1.08024
EURUSD,H1,2025-03-25T05:00:00Z,1.08024,1.08052,1.07942,1.07968
EURUSD,H1,2025-03-25T06:00:00Z,1.07968,1.08037,1.07961,1.0803
EURUSD,H1,2025-03-25T07:00:00Z,1.08032,1.0809,1.08028,1.08034
EURUSD,H1,2025-03-25T08:00:00Z,1.08034,1.08071,1.08014,1.08032
EURUSD,H1,2025-03-25T09:00:00Z,1.08032,1.08047,1.07929,1.07947
EURUSD,H1,2025-03-25T10:00:00Z,1.07948,1.08022,1.07852,1.07874
EURUSD,H1,2025-03-25T11:00:00Z,1.07874,1.07923,1.07771,1.07907
EURUSD,H1,2025-03-25T12:00:00Z,1.07906,1.08041,1.07875,1.08007
EURUSD,H1,2025-03-25T13:00:00Z,1.08007,1.08246,1.08,1.08203
EURUSD,H1,2025-03-25T14:00:00Z,1.08203,1.08277,1.0811,1.08179
EURUSD,H1,2025-03-25T15:00:00Z,1.08179,1.08302,1.08158,1.08252
EURUSD,H1,2025-03-25T16:00:00Z,1.08253,1.08279,1.0814,1.08148
EURUSD,H1,2025-03-25T17:00:00Z,1.08155,1.08219,1.08019,1.0812599999999999
EURUSD,H1,2025-03-25T18:00:00Z,1.0812599999999999,1.08198,1.07973,1.08033
EURUSD,H1,2025-03-25T19:00:00Z,1.08033,1.08132,1.0802,1.08066
EURUSD,H1,2025-03-25T20:00:00Z,1.08066,1.08171,1.0806,1.08099
EURUSD,H1,2025-03-25T21:00:00Z,1.08096,1.08096,1.07972,1.07985
EURUSD,H1,2025-03-25T22:00:00Z,1.07985,1.08019,1.07908,1.07955
EURUSD,H1,2025-03-25T23:00:00Z,1.07955,1.07959,1.079,1.07913
EURUSD,H1,2025-03-26T00:00:00Z,1.07901,1.07914,1.07872,1.07908
EURUSD,H1,2025-03-26T01:00:00Z,1.07908,1.07933,1.0788,1.07886
EURUSD,H1,2025-03-26T02:00:00Z,1.07886,1.0789,1.07856,1.0789
EURUSD,H1,2025-03-26T03:00:00Z,1.0789,1.07924,1.07836,1.07844
EURUSD,H1,2025-03-26T04:00:00Z,1.07844,1.07956,1.0778,1.07937
EURUSD,H1,2025-03-26T05:00:00Z,1.07937,1.07973,1.07902,1.07952
